Page Name,Post Created,Shares,Message,URL
Palestine International Broadcast,2023-11-13 04:30:36 EST,6457,"Horse- and donkey-dragged carts are the main means of transport these days in Gaza, even when a murdered civilian is laid down to rest. #GazaGenocide",https://www.facebook.com/100069351265250/posts/660862489568787
Palestine International Broadcast,2023-10-27 15:00:03 EDT,8363,Al Sabra Massacre today in Gaza. Sabra and Shatella Massacre was in Lebanon The perpetrator is the Same...Israeli occupation. #SharePost #ShareThisPost #ShareThis #shares #shareforshare #family #likeforlikes #likesforlike #LikeFollowShare #like #liketime #likers #reels #reelsviralシ #reel #gaza #GazaGenocide #gazaunderattack #GazaUnderAttack #gazanation #Gaza_is_under_bombardment #GazaWar,https://www.facebook.com/100069351265250/posts/651853460469690
Palestine International Broadcast,2023-10-24 07:30:02 EDT,4101,A Palestinian man cried after he couldn’t tell his neighbor’s #daughter that their parents were killed by an Israeli air strike in Gaza. 24.10.23 #trendingreels #trendingreelsvideo #kids #arab #SharePost #trendingmovie #Palestinians #Palestine #Palestina #gaza #GazaGenocide #gazaunderattack #Gaza_is_under_bombardment #gazanation #GazaUnderAttack #GazaPalestine #christianity #ChristianLife #GazaNation #palestineforever,https://www.facebook.com/100069351265250/posts/649887520666284
Palestine International Broadcast,2023-10-23 11:30:28 EDT,4555,Mr. Sanders Rejecting Biden's Policy on Gaza. #unitedstates #Sanders #GazaNation #GazaGenocide,https://www.facebook.com/100069351265250/posts/649381967383506
Palestine International Broadcast,2023-10-25 13:40:53 EDT,3952,"Israel Murders Senior Al Jazeera Channel Correspondent, Wael Dahdooh, Family in Vengeance for their Father Coverage of the Truth of the Israeli Genocide Against Gaza ◦ #GazaUnderAttack #Gaza #SupportPalestine",https://www.facebook.com/100069351265250/posts/650777020577334
Palestine International Broadcast,2023-11-10 05:17:37 EST,1638,Jenin And Gaza Face Israeli Genocide The funeral of 14 Palestinians who were killed by the Israeli occupation forces whist raiding the city,https://www.facebook.com/100069351265250/posts/659541463034223
Palestine International Broadcast,2023-10-24 08:30:54 EDT,1679,"Security camera footage shows the explosion, when the Israeli occupation bombed Abu Dalal Commercial Center in Nuseirat in the central Gaza Strip. #GazaNation #GazaGenocide #airstrike #Palestine",https://www.facebook.com/100069351265250/posts/649978233990546
Palestine International Broadcast,2023-10-25 11:30:01 EDT,2047,"While the photojournalist Mohammed Al-Farra was covering an event to support our people in Gaza at Al-Bireh, he received the sad news of his family’s martyrdom in Gaza strip as a result of Israel’s bombing #GazaGenocide #trendingreels #trendingreelsvideo #gazaunderattacks #GazaNation #shareresep #ShareThisPost #arab #hospitality #hospital",https://www.facebook.com/100069351265250/posts/650633683925001
Palestine International Broadcast,2024-04-13 17:30:44 EDT,729,Rockets Salvo from Lebanon against the Israeli occupation settlements in the aftermath of Israel's refusal to stop genocide against Gaza.,https://www.facebook.com/100069351265250/posts/748690694119299
Palestine International Broadcast,2024-05-15 03:00:11 EDT,491,"Students Rally in Madrid, Spain, Against the Genocide in Gaza",https://www.facebook.com/100069351265250/posts/767548408900194
Palestine International Broadcast,2023-10-27 05:00:06 EDT,1937,No kid deserved this Save Gaza kids #humanity #trendingreelsvideo #arab #SharePost #Qatar #Lebanon #Russia #Palestinians #Palestine #Palestina #gaza #GazaGenocide #gazaunderattack #Gaza_is_under_bombardment #gazanation #GazaUnderAttack #GazaPalestine #christianity #ChristianLife #GazaNation #palestineforever #kids,https://www.facebook.com/100069351265250/posts/651684407153262
Palestine International Broadcast,2024-04-05 18:43:09 EDT,590,"On the Night of Decree, Palestinians Reiterate their Determination to Liberate Jerusalem and Al Aqsa from the Israeli Occupation, Calling on their Brethren to Rise in Support of Gaza against the Israeli Genocide.",https://www.facebook.com/100069351265250/posts/744019917919710
Palestine International Broadcast,2023-10-19 10:41:09 EDT,1420,Israeli occupation bulldozers are destroying the refugee camps in the West Bank. Bombing Gaza isn't enough i guess!! #GazaGenocide #WestBank #GazaUnderAttack,https://www.facebook.com/100069351265250/posts/646926097629093
Palestine International Broadcast,2023-10-28 09:28:25 EDT,1680,Do you hear the voice of Gaza Children ???? They deserve your voice to stop Israeli genocide.,https://www.facebook.com/100069351265250/posts/652398033748566
Palestine International Broadcast,2024-06-29 19:20:07 EDT,818,Gaza needs the voice of humanity to stop Israeli genocide,https://www.facebook.com/100069351265250/posts/795883479400020
Palestine International Broadcast,2024-05-03 15:42:36 EDT,373,Leon university students protest Israel’s genocide against Gaza,https://www.facebook.com/100069351265250/posts/760676232920745
Palestine International Broadcast,2023-11-13 09:39:52 EST,2376,What kind of people are those who support Israel's genocide against Gaza?,https://www.facebook.com/100069351265250/posts/661295096192193
Palestine International Broadcast,2023-10-19 19:45:06 EDT,757,"How can Western governments or any human being condone this monstrous act of evil genocide. no regard for humanity, the weak, the elderly, animals, plant life. And choking those that survive this carnage with toxic chemicals and air pollution. We have to demand this stops #GazaUnderAttack #gaza_under_attack_now #Gaza #gaza #BoycottIsrael #BDS",https://www.facebook.com/100069351265250/posts/646952784293091
Palestine International Broadcast,2024-02-19 14:52:29 EST,550,Stop genocide against Gaza.,https://www.facebook.com/100069351265250/posts/718050467183322
Palestine International Broadcast,2023-10-27 11:00:04 EDT,1305,Which Western leader said: “Palestine has the right to self-defense????” #SharePost #ShareThisPost #ShareThis #shares #shareforshare #family #likeforlikes #likesforlike #LikeFollowShare #like #liketime #likers #reels #reelsviralシ #reel #gaza #GazaGenocide #gazaunderattack #GazaUnderAttack #gazanation #Gaza_is_under_bombardment #GazaWar,https://www.facebook.com/100069351265250/posts/651733717148331
Palestine International Broadcast,2024-03-07 07:00:43 EST,767,Gaza children are worth life. Every human being must raise their voice to end Israel's genocide against Gaza,https://www.facebook.com/100069351265250/posts/726784572976578
